"UserAvatar href","avatar-image src","subject-link","subject-link href","truncated-body","show-more-body","show-more-body href","full-body","show-less-body","author 2","badges src","badges src 2","badges src 3","time","views-count","kudo-count","reply-count","full-body 2","full-body 3","full-body 4","full-body 5","full-body 6","full-body 7","full-body 8"
"https://community.infineon.com/t5/user/viewprofilepage/user-id/171128","https://community.infineon.com/t5/image/serverpage/avatar-name/bear/avatar-theme/candy/avatar-collection/animals/avatar-display-size/profile/version/2?xdesc=1.0","Double Pulse Test","https://community.infineon.com/t5/MOSFET-Si-SiC/Double-Pulse-Test/td-p/750605","In the datasheet, a dual pulse test circuit was used to test switch losses.How much is the load inductance of DPT value?How to take values？please.(I u...","Show More","https://community.infineon.com/","In the datasheet, a dual pulse test circuit was used to test switch losses.How much is the load inductance of DPT value?How to take values？please.(I use IMW65R015M2H)","Show Less","kiko","https://community.infineon.com/html/@DB310C00FCF7164DF57F5E9E38A34695/badge_icons/Reply%20to%20questions_1.svg","https://community.infineon.com/html/@BB7CBF68EA79EE2CE80785E7E8F100B7/badge_icons/Questions%20asked_1.svg","https://community.infineon.com/html/@4F31C10E63A8DEAD5447F4ACE23F9B35/badge_icons/Login_1.svg","2024/4/29","44","0","2","","","","","","",""
"https://community.infineon.com/t5/user/viewprofilepage/user-id/171362","https://community.infineon.com/t5/image/serverpage/avatar-name/fastfood/avatar-theme/candy/avatar-collection/food/avatar-display-size/profile/version/2?xdesc=1.0","TCC data","https://community.infineon.com/t5/MOSFET-Si-SiC/TCC-data/td-p/752705","Hello,
I am reaching out to request TCC data for the part mentioned below. Kindly furnish the necessary information.
 




MFR


MPN


ECCN


HTC




...","Show More","https://community.infineon.com/","I am reaching out to request TCC data for the part mentioned below. Kindly furnish the necessary information.","Show Less","DGupta17","https://community.infineon.com/html/@BB7CBF68EA79EE2CE80785E7E8F100B7/badge_icons/Questions%20asked_1.svg","https://community.infineon.com/html/@4F31C10E63A8DEAD5447F4ACE23F9B35/badge_icons/Login_1.svg","","2024/5/3","86","0","0","Hello,","MFR","MPN","ECCN","HTC","INFINEON-CYPRESS","CY7C1061DV33-10ZSXI"
"https://community.infineon.com/t5/user/viewprofilepage/user-id/92650","https://community.infineon.com/t5/image/serverpage/avatar-name/compact/avatar-theme/candy/avatar-collection/transit/avatar-display-size/profile/version/2?xdesc=1.0","Cu Clip in Automotive Mosfet","https://community.infineon.com/t5/MOSFET-Si-SiC/Cu-Clip-in-Automotive-Mosfet/td-p/752473","Hi
 
Does infineon has Cu Clip technology in Mosfet package.
-If yes, Please share particular series wit Cu Clip concept.
 
Regards
Lucky Kumar","Show More","https://community.infineon.com/","","Show Less","kumarluc","https://community.infineon.com/html/@802D173B6CCE19D70A765EC56856B0C4/badge_icons/Reply%20to%20questions_10.svg","https://community.infineon.com/html/@2B1A508C78E14E291DB4F746ED38E75D/badge_icons/Login_25.svg","https://community.infineon.com/html/@1196654FE7D08F618233C90299142872/badge_icons/Questions%20asked_10.svg","2024/5/3","80","0","0","Hi","Does infineon has Cu Clip technology in Mosfet package.","-If yes, Please share particular series wit Cu Clip concept.","Regards","Lucky Kumar","",""
"https://community.infineon.com/t5/user/viewprofilepage/user-id/171270","https://community.infineon.com/t5/image/serverpage/avatar-name/monkey/avatar-theme/candy/avatar-collection/animals/avatar-display-size/profile/version/2?xdesc=1.0","SiC IMBG120R350M1HXTMA1 sense pin unconnected","https://community.infineon.com/t5/MOSFET-Si-SiC/SiC-IMBG120R350M1HXTMA1-sense-pin-unconnected/td-p/751972","Hello together,
I'm planning to use a SiC IMBG120R350M1H in a design and don't need the sense pin functionality.
The datasheet doesn't give much infor...","Show More","https://community.infineon.com/","I'm planning to use a SiC  in a design and don't need the sense pin functionality.","Show Less","steff1","https://community.infineon.com/html/@5D4E593E0A030CD78DB8D5CDDA2554E1/badge_icons/Likes%20received_1.svg","https://community.infineon.com/html/@8D0CEDDB2B2BA0125F60F1F756154B75/badge_icons/Likes%20given_1.svg","https://community.infineon.com/html/@BB7CBF68EA79EE2CE80785E7E8F100B7/badge_icons/Questions%20asked_1.svg","2024/5/2","115","1","1","Hello together,","The datasheet doesn't give much information about this pin. Can I just leave it unconnected or should I tie it to source via a resistor or something?","","","","Thank you for your help",""
"https://community.infineon.com/t5/user/viewprofilepage/user-id/171276","https://community.infineon.com/t5/image/serverpage/avatar-name/mummy/avatar-theme/candy/avatar-collection/monsters/avatar-display-size/profile/version/2?xdesc=1.0","EVAL Inverter","https://community.infineon.com/t5/MOSFET-Si-SiC/EVAL-Inverter/td-p/752026","I'm playing around with the EVAL_3K3W_TP_PFC_SIC board.It seems like the inverter expects to have a grid connection and follow the 50Hz from the grid....","Show More","https://community.infineon.com/","Anybody have experience with this EVAL board?BR Stefan","Show Less","Stefan11438","https://community.infineon.com/html/@BB7CBF68EA79EE2CE80785E7E8F100B7/badge_icons/Questions%20asked_1.svg","https://community.infineon.com/html/@4F31C10E63A8DEAD5447F4ACE23F9B35/badge_icons/Login_1.svg","","2024/5/2","32","0","1","I'm playing around with the EVAL_3K3W_TP_PFC_SIC board.It seems like the inverter expects to have a grid connection and follow the 50Hz from the grid. I want to use it without grid connection in ""island mode"" generating its own 50Hz clock.","","","","","",""
"https://community.infineon.com/t5/user/viewprofilepage/user-id/166219","https://community.infineon.com/t5/image/serverpage/avatar-name/trumpet/avatar-theme/candy/avatar-collection/music/avatar-display-size/profile/version/2?xdesc=1.0","turn -on power loss calculation of IAUS300N08S5N012ATMA1 MOSFET  for cap...","https://community.infineon.com/t5/MOSFET-Si-SiC/turn-on-power-loss-calculation-of-IAUS300N08S5N012ATMA1-MOSFET-for-capacitive/td-p/751064","Hi Infineon team,
I am selecting  IAUS300N08S5N012ATMA1 MOSFET for my application which has inrush current control for capacitive load of 500uF.
Inrus...","Show More","https://community.infineon.com/","I am selecting  IAUS300N08S5N012ATMA1 MOSFET for my application which has inrush current control for capacitive load of 500uF.","Show Less","karthikkarri","https://community.infineon.com/html/@5D4E593E0A030CD78DB8D5CDDA2554E1/badge_icons/Likes%20received_1.svg","https://community.infineon.com/html/@5314BCBE1A8075802F557371685FC5CB/badge_icons/Login_5.svg","https://community.infineon.com/html/@DB310C00FCF7164DF57F5E9E38A34695/badge_icons/Reply%20to%20questions_1.svg","2024/4/30","48","1","2","Hi Infineon team,","Inrush current is 4A for 10ms turn-on time with active slew rate control of the MOSFET.","I know how to calculate the turn-on power loss induction or resistive load which could be :","2) Inductive load : (1/2*Vds*Id*Turn-on time)","But i am sure about the capacitive load.Could you please let how to calculate the turn-on loss for capacitive load.","1) resistive load: (1/6*Vds*Id*Turn-on time)","But in one the infineon application notes for capacitive load it mentioned as below:"
"https://community.infineon.com/t5/user/viewprofilepage/user-id/102445","https://community.infineon.com/html/@809ED64A7C313CC4C781A2681ADEFC00/assets/image_2021_02_09T14_02_44_651Z.png","About the missing diode SOA in the power MOS datasheet","https://community.infineon.com/t5/MOSFET-Si-SiC/About-the-missing-diode-SOA-in-the-power-MOS-datasheet/td-p/746691","Taking IPB017N10N5 as an example, there are few parameters about the diode in parallel and there are no descriptions about the diode reverse recovery ...","Show More","https://community.infineon.com/","","Show Less","Translation_Bot","","","","2024/4/24","60","0","4","Taking IPB017N10N5 as an example, there are few parameters about the diode in parallel and there are no descriptions about the diode reverse recovery current limit, diode shutdown device maximum power limit and SOA, where can I get this part of information? Where can I get this part of information?","","","","","",""
"https://community.infineon.com/t5/user/viewprofilepage/user-id/95152","https://community.infineon.com/t5/image/serverpage/avatar-name/bear/avatar-theme/candy/avatar-collection/animals/avatar-display-size/profile/version/2?xdesc=1.0","IMZA120R030M1H TC vs Id question","https://community.infineon.com/t5/MOSFET-Si-SiC/IMZA120R030M1H-TC-vs-Id-question/td-p/749115","Hi IFXer,
I have application as following, please recommended for me, thanks.
1. Regarding the datasheet, it shows a continuous drain current of 49A a...","Show More","https://community.infineon.com/","I have application as following, please recommended for me, thanks.","Show Less","WEN-YUNG","https://community.infineon.com/html/@5D4E593E0A030CD78DB8D5CDDA2554E1/badge_icons/Likes%20received_1.svg","https://community.infineon.com/html/@1AD53FB798C4B8F7899EC55B7B0CACE8/badge_icons/Login_50.svg","https://community.infineon.com/html/@1196654FE7D08F618233C90299142872/badge_icons/Questions%20asked_10.svg","2024/4/28","67","0","2","Hi IFXer,","1. Regarding the datasheet, it shows a continuous drain current of 49A at Tc 100C and Tvj 175C. Can we optimize the cooling of the heat sink and then increase the current capability of the SiC MOSFET?","2. based on point 1, May I know we can formula the current capability by attached file show?","","","",""
"https://community.infineon.com/t5/user/viewprofilepage/user-id/171071","https://community.infineon.com/t5/image/serverpage/avatar-name/gardening/avatar-theme/candy/avatar-collection/hobbies/avatar-display-size/profile/version/2?xdesc=1.0","Interpretation of Thermal resistance data of IAUC80N04S6L032.","https://community.infineon.com/t5/MOSFET-Si-SiC/Interpretation-of-Thermal-resistance-data-of-IAUC80N04S6L032/td-p/750047","Dear All!
That MosFET has a bottom Drain plate to be soldered on the PCB, while the case-top is plastic.
The datasheet features Rth(JC) of 3 K/W.
I am...","Show More","https://community.infineon.com/","That MosFET has a bottom Drain plate to be soldered on the PCB, while the case-top is plastic.","Show Less","peter3","https://community.infineon.com/html/@BB7CBF68EA79EE2CE80785E7E8F100B7/badge_icons/Questions%20asked_1.svg","https://community.infineon.com/html/@4F31C10E63A8DEAD5447F4ACE23F9B35/badge_icons/Login_1.svg","","2024/4/29","441","0","2","Dear All!","The datasheet features Rth(JC) of 3 K/W.","I am not sure if this value refers to the Junction to Drain-plate thermal resistance or the Junction to Plastic case-top resistance.  Could someone confirm which one?","","Thanks!","What is the most effective cooling for this type of package? Can I cool it by it's top and bottom too?","Peter"
"https://community.infineon.com/t5/user/viewprofilepage/user-id/100885","https://community.infineon.com/t5/image/serverpage/avatar-name/van/avatar-theme/candy/avatar-collection/transit/avatar-display-size/profile/version/2?xdesc=1.0","How to optimize the drive output of 1ED3122MC12HXUMA1 for IMW120R060M1H.","https://community.infineon.com/t5/MOSFET-Si-SiC/How-to-optimize-the-drive-output-of-1ED3122MC12HXUMA1-for-IMW120R060M1H/td-p/748727","I made a bidirectional buck-boost converter and use 1ED3122MC12HXUMA1 to drive the IMW120R060M1H.The driving waveform is normal when there is no load,...","Show More","https://community.infineon.com/","I made a bidirectional buck-boost converter and use 1ED3122MC12HXUMA1 to drive the IMW120R060M1H.The driving waveform is normal when there is no load, and the driving waveform is abnormal after loading, what is the cause? How can I deal  it. The waveforms, schematic and layout of PCB are as follows.","Show Less","lixuancheng","https://community.infineon.com/html/@2B1A508C78E14E291DB4F746ED38E75D/badge_icons/Login_25.svg","https://community.infineon.com/html/@BBEC66922B1C4B9B7C6B587E96E232D8/badge_icons/Questions%20asked_5.svg","https://community.infineon.com/html/@802D173B6CCE19D70A765EC56856B0C4/badge_icons/Reply%20to%20questions_10.svg","2024/4/27","119","0","2","","","","","","",""
