"UserAvatar href","avatar-image src","board-link","board-link href","subject-link","subject-link href","truncated-body","show-more-body","show-more-body href","full-body","full-body 2","full-body 3","full-body 4","full-body 5","show-less-body","author","author 2","badges src","badges src 2","badges src 3","post-image src","time","views-image src","views-count","kudo-image src","kudo-count","reply-image src","reply-count"
"https://community.infineon.com/t5/user/viewprofilepage/user-id/85886","https://community.infineon.com/t5/image/serverpage/avatar-name/violin/avatar-theme/candy/avatar-collection/music/avatar-display-size/profile/version/2?xdesc=1.0","Nor Flash","https://community.infineon.com/t5/Nor-Flash/bd-p/nor-flash","how to use or unprotect the highest address sector protected in S70GL02G...","https://community.infineon.com/t5/Nor-Flash/how-to-use-or-unprotect-the-highest-address-sector-protected-in/td-p/752440","Hi,
Iam using a  S70GL02GT11FHA010 NOR Flash.
Anyone can help me how to enable/unprotect the highest address sector protected in this NOR-Flash.
 
Reg...","Show More","https://community.infineon.com/","Hi,","Iam using a  S70GL02GT11FHA010 NOR Flash.","Anyone can help me how to enable/unprotect the highest address sector protected in this NOR-Flash.","Regards","Priyanka","Show Less","By","Priyanka_SP","https://community.infineon.com/html/@9FC46A0208CA612D6CB0C9007C71D09A/badge_icons/Login_10.svg","https://community.infineon.com/html/@5314BCBE1A8075802F557371685FC5CB/badge_icons/Login_5.svg","https://community.infineon.com/html/@DB310C00FCF7164DF57F5E9E38A34695/badge_icons/Reply%20to%20questions_1.svg","https://community.infineon.com/html/assets/calender.svg","2024/5/3","https://community.infineon.com/html/assets/view.svg","245","https://community.infineon.com/html/assets/like.svg","0","https://community.infineon.com/html/assets/comment.svg","2"
"https://community.infineon.com/t5/user/viewprofilepage/user-id/171305","https://community.infineon.com/t5/image/serverpage/avatar-name/mummy/avatar-theme/candy/avatar-collection/monsters/avatar-display-size/profile/version/2?xdesc=1.0","Nor Flash","https://community.infineon.com/t5/Nor-Flash/bd-p/nor-flash","S25FL256LAGNFM010 material specifications","https://community.infineon.com/t5/Nor-Flash/S25FL256LAGNFM010-material-specifications/td-p/752163","I would like to know what the potting compound of this product is so I could look for flammability test data. Is there any information on the Fungal r...","Show More","https://community.infineon.com/","I would like to know what the potting","","","","","Show Less","By","Marco_Berry","https://community.infineon.com/html/@5D4E593E0A030CD78DB8D5CDDA2554E1/badge_icons/Likes%20received_1.svg","https://community.infineon.com/html/@BB7CBF68EA79EE2CE80785E7E8F100B7/badge_icons/Questions%20asked_1.svg","https://community.infineon.com/html/@4F31C10E63A8DEAD5447F4ACE23F9B35/badge_icons/Login_1.svg","https://community.infineon.com/html/assets/calender.svg","2024/5/2","https://community.infineon.com/html/assets/view.svg","30","https://community.infineon.com/html/assets/like.svg","1","https://community.infineon.com/html/assets/comment.svg","0"
"https://community.infineon.com/t5/user/viewprofilepage/user-id/171084","https://community.infineon.com/t5/image/serverpage/avatar-name/maracas/avatar-theme/candy/avatar-collection/music/avatar-display-size/profile/version/2?xdesc=1.0","Nor Flash","https://community.infineon.com/t5/Nor-Flash/bd-p/nor-flash","S29AL016J70TFN020 Thermal Data?","https://community.infineon.com/t5/Nor-Flash/S29AL016J70TFN020-Thermal-Data/td-p/750181","Hello,
We would like to use this memory: S29AL016J70TFN020, but we do need information about its thermal data in order to carry out our thermal analys...","Show More","https://community.infineon.com/","Hello,","We would like to use this memory: S29AL016J70TFN020, but we do need information about its thermal data in order to carry out our thermal analysis. ¿Could you provide us with its Theta-JA, Theta-JC and its junction temperature?","Thanks in advance.","","","Show Less","By","lvp","https://community.infineon.com/html/@DB310C00FCF7164DF57F5E9E38A34695/badge_icons/Reply%20to%20questions_1.svg","https://community.infineon.com/html/@BB7CBF68EA79EE2CE80785E7E8F100B7/badge_icons/Questions%20asked_1.svg","https://community.infineon.com/html/@4F31C10E63A8DEAD5447F4ACE23F9B35/badge_icons/Login_1.svg","https://community.infineon.com/html/assets/calender.svg","2024/4/29","https://community.infineon.com/html/assets/view.svg","56","https://community.infineon.com/html/assets/like.svg","0","https://community.infineon.com/html/assets/comment.svg","2"
"https://community.infineon.com/t5/user/viewprofilepage/user-id/167036","https://community.infineon.com/t5/image/serverpage/avatar-name/toyrocket/avatar-theme/candy/avatar-collection/toys/avatar-display-size/profile/version/2?xdesc=1.0","Nor Flash","https://community.infineon.com/t5/Nor-Flash/bd-p/nor-flash","Where is the file ---- slld_fll_256l.h","https://community.infineon.com/t5/Nor-Flash/Where-is-the-file-slld-fll-256l-h/td-p/728855","A member from Infineon posted me a zip file regarding drivers for S25FL256FL and just posted the zip and went away named @Apurva_S . He himself marked...","Show More","https://community.infineon.com/","A member from Infineon posted me a zip file regarding drivers for S25FL256FL and just posted the zip and went away named  . He himself marked the post as closed while not even allowing me for counter questions.","In the same stack that he posted he has included a file :-","","","","Show Less","By","rohanmajumdar69","https://community.infineon.com/html/@9FC46A0208CA612D6CB0C9007C71D09A/badge_icons/Login_10.svg","https://community.infineon.com/html/@DB310C00FCF7164DF57F5E9E38A34695/badge_icons/Reply%20to%20questions_1.svg","https://community.infineon.com/html/@5314BCBE1A8075802F557371685FC5CB/badge_icons/Login_5.svg","https://community.infineon.com/html/assets/calender.svg","2024/4/3","https://community.infineon.com/html/assets/view.svg","158","https://community.infineon.com/html/assets/like.svg","0","https://community.infineon.com/html/assets/comment.svg","6"
"https://community.infineon.com/t5/user/viewprofilepage/user-id/102445","https://community.infineon.com/html/@809ED64A7C313CC4C781A2681ADEFC00/assets/image_2021_02_09T14_02_44_651Z.png","Nor Flash","https://community.infineon.com/t5/Nor-Flash/bd-p/nor-flash","S29JL032J60TFI010 of Product Status","https://community.infineon.com/t5/Nor-Flash/S29JL032J60TFI010-of-Product-Status/td-p/751656","How is the production of S29JL032J60TFI010 product going?","Show More","https://community.infineon.com/","How is the production of S29JL032J60TFI010 product going?","","","","","Show Less","By","Translation_Bot","","","","https://community.infineon.com/html/assets/calender.svg","2024/5/1","https://community.infineon.com/html/assets/view.svg","26","https://community.infineon.com/html/assets/like.svg","0","https://community.infineon.com/html/assets/comment.svg","0"
"https://community.infineon.com/t5/user/viewprofilepage/user-id/169850","https://community.infineon.com/t5/image/serverpage/avatar-name/roboinvader/avatar-theme/candy/avatar-collection/robots/avatar-display-size/profile/version/2?xdesc=1.0","Nor Flash","https://community.infineon.com/t5/Nor-Flash/bd-p/nor-flash","S28HS: Password protection","https://community.infineon.com/t5/Nor-Flash/S28HS-Password-protection/td-p/736666","Hi,
Our project is using S28HS02GT, I see that the dataset has the feature of password protection. But, I don't know how to program the password. I sc...","Show More","https://community.infineon.com/","Hi,","Our project is using S28HS02GT, I see that the dataset has the feature of password protection. But, I don't know how to program the password. I scanned the document but did not have any info about it except the password must be programmed before using.","So, Is this feature support for our nor flash? Or is there any chapter or document that I missed?","Thank you,","","Show Less","By","WillVincent","https://community.infineon.com/html/@5314BCBE1A8075802F557371685FC5CB/badge_icons/Login_5.svg","https://community.infineon.com/html/@DB310C00FCF7164DF57F5E9E38A34695/badge_icons/Reply%20to%20questions_1.svg","https://community.infineon.com/html/@8D0CEDDB2B2BA0125F60F1F756154B75/badge_icons/Likes%20given_1.svg","https://community.infineon.com/html/assets/calender.svg","2024/4/10","https://community.infineon.com/html/assets/view.svg","170","https://community.infineon.com/html/assets/like.svg","0","https://community.infineon.com/html/assets/comment.svg","7"
"https://community.infineon.com/t5/user/viewprofilepage/user-id/171101","https://community.infineon.com/t5/image/serverpage/avatar-name/monkey/avatar-theme/candy/avatar-collection/animals/avatar-display-size/profile/version/2?xdesc=1.0","Nor Flash","https://community.infineon.com/t5/Nor-Flash/bd-p/nor-flash","S25FL512SAGMFIG13 to S70FL01GSAGMFI010 Migration","https://community.infineon.com/t5/Nor-Flash/S25FL512SAGMFIG13-to-S70FL01GSAGMFI010-Migration/td-p/750257","I am using 512Mb Flash S25FL512SAGMFIG1 as QSPI flash for Xilinx FPGA to boot on power up. Everything works as expected. I needed more space so I chan...","Show More","https://community.infineon.com/","I am using 512Mb Flash S25FL512SAGMFIG1 as QSPI flash for Xilinx FPGA to boot on power up. Everything works as expected. I needed more space so I changed flash from 512Mb to 1 Gb (S70FL01GSAGMFI010). I am able to successfully program the 1Gb flash using JTAG tools but upon power up FPGA is unable to come up. It looks like something is not working right between FPGA and the new 1G flash. I was wondering if FPGA is trying to read the flash identification ID and it doesn't match with its expecting. (FYI, I didn't change anything in the software. I just swapped 512Mb flash with 1G flash on the PCB)","I compared the 2 datasheets S25FL512S and  S70FL01GS, and  Page 8 of S70FL01GS, it mentions that the Read Identification, for these 2 flashes are the same. (see image below). If that's the case, does that mean the ""Manufacturer ID' and ""Device ID"" for these 2 flashes, will be the same.","","","","Show Less","By","sahilbhat94","https://community.infineon.com/html/@5D4E593E0A030CD78DB8D5CDDA2554E1/badge_icons/Likes%20received_1.svg","https://community.infineon.com/html/@BB7CBF68EA79EE2CE80785E7E8F100B7/badge_icons/Questions%20asked_1.svg","https://community.infineon.com/html/@4F31C10E63A8DEAD5447F4ACE23F9B35/badge_icons/Login_1.svg","https://community.infineon.com/html/assets/calender.svg","2024/4/29","https://community.infineon.com/html/assets/view.svg","100","https://community.infineon.com/html/assets/like.svg","1","https://community.infineon.com/html/assets/comment.svg","1"
"https://community.infineon.com/t5/user/viewprofilepage/user-id/168061","https://community.infineon.com/t5/image/serverpage/avatar-name/elephant/avatar-theme/candy/avatar-collection/animals/avatar-display-size/profile/version/2?xdesc=1.0","Nor Flash","https://community.infineon.com/t5/Nor-Flash/bd-p/nor-flash","S70FL01GSAG","https://community.infineon.com/t5/Nor-Flash/S70FL01GSAG/td-p/740572","I'm currently investigating the S70FL01GSAG 1Gb device as a replacement for the S25FL512S 512Mb device due to a larger flash capacity requirement. Whi...","Show More","https://community.infineon.com/","I'm currently investigating the S70FL01GSAG 1Gb device as a replacement for the S25FL512S 512Mb device due to a larger flash capacity requirement. While trying to compare the two datasheets, it seems the S70FL01GSAG does not include much information regarding the device registers. Does the register information for S70FL01GSAG, similar to what is shown in the S25FL512S datasheet, exist anywhere and if so can someone provide me with it?","","","","","Show Less","By","cfischang","https://community.infineon.com/html/@DB310C00FCF7164DF57F5E9E38A34695/badge_icons/Reply%20to%20questions_1.svg","https://community.infineon.com/html/@BB7CBF68EA79EE2CE80785E7E8F100B7/badge_icons/Questions%20asked_1.svg","https://community.infineon.com/html/@4F31C10E63A8DEAD5447F4ACE23F9B35/badge_icons/Login_1.svg","https://community.infineon.com/html/assets/calender.svg","2024/4/16","https://community.infineon.com/html/assets/view.svg","105","https://community.infineon.com/html/assets/like.svg","0","https://community.infineon.com/html/assets/comment.svg","4"
"https://community.infineon.com/t5/user/viewprofilepage/user-id/167573","https://community.infineon.com/t5/image/serverpage/avatar-name/doll/avatar-theme/candy/avatar-collection/toys/avatar-display-size/profile/version/2?xdesc=1.0","Nor Flash","https://community.infineon.com/t5/Nor-Flash/bd-p/nor-flash","lifecycle inquiry","https://community.infineon.com/t5/Nor-Flash/lifecycle-inquiry/td-p/708328","Could you please confirm the lifecycle status for this package ""PQFP"" in this series ""S29CL032J"" ?","Show More","https://community.infineon.com/","","","","","","Show Less","By","Msalem000","https://community.infineon.com/html/@DB310C00FCF7164DF57F5E9E38A34695/badge_icons/Reply%20to%20questions_1.svg","https://community.infineon.com/html/@BB7CBF68EA79EE2CE80785E7E8F100B7/badge_icons/Questions%20asked_1.svg","https://community.infineon.com/html/@4F31C10E63A8DEAD5447F4ACE23F9B35/badge_icons/Login_1.svg","https://community.infineon.com/html/assets/calender.svg","2024/3/6","https://community.infineon.com/html/assets/view.svg","321","https://community.infineon.com/html/assets/like.svg","0","https://community.infineon.com/html/assets/comment.svg","8"
"https://community.infineon.com/t5/user/viewprofilepage/user-id/157487","https://community.infineon.com/t5/image/serverpage/image-id/96518iF6ABC2B774BCD9A6/image-dimensions/150x150/image-coordinates/0%2C0%2C150%2C150?v=v2","Nor Flash","https://community.infineon.com/t5/Nor-Flash/bd-p/nor-flash","Top side marking  info     S25FL512SAGMFIG10","https://community.infineon.com/t5/Nor-Flash/Top-side-marking-info-S25FL512SAGMFIG10/td-p/744188","Hello,
Could you share the info of top side marking of "" S25FL512SAGMFIG10"" ?
Is the first line ""S25FL512SAIF01""  ?
Best regards,","Show More","https://community.infineon.com/","Hello,","Could you share the info of top side marking of "" S25FL512SAGMFIG10"" ?","Is the first line ""S25FL512SAIF01""  ?","Best regards,","","Show Less","By","camino","https://community.infineon.com/html/@E11BA9A82FC58E1904F193F739246BB3/badge_icons/Give%20accepted%20solutions_5.svg","https://community.infineon.com/html/@802D173B6CCE19D70A765EC56856B0C4/badge_icons/Reply%20to%20questions_10.svg","https://community.infineon.com/html/@9FEDFFCBA9FB60B2EB3889D72F5D4A95/badge_icons/Give%20accepted%20solutions_1.svg","https://community.infineon.com/html/assets/calender.svg","2024/4/22","https://community.infineon.com/html/assets/view.svg","87","https://community.infineon.com/html/assets/like.svg","0","https://community.infineon.com/html/assets/comment.svg","1"
