"UserAvatar href","avatar-image src","board-link","board-link href","subject-link","subject-link href","solved-msg","solved-msg src","truncated-body","show-more-body","show-more-body href","full-body","show-less-body","author 2","badges src","badges src 2","time","views-count","kudo-count","reply-count","full-body 2","full-body 3","full-body 4","full-body 5","full-body 6","full-body 7","full-body 8","full-body 9","full-body 10","full-body 11","badges src 3"
"https://community.infineon.com/t5/user/viewprofilepage/user-id/168963","https://community.infineon.com/t5/image/serverpage/avatar-name/sports/avatar-theme/candy/avatar-collection/hobbies/avatar-display-size/profile/version/2?xdesc=1.0","USB low-full-high speed peripherals","https://community.infineon.com/t5/USB-low-full-high-speed/bd-p/USBLowFullHighSpeedPeripherals","CY7C65215, configuration image CRC","https://community.infineon.com/t5/USB-low-full-high-speed/CY7C65215-configuration-image-CRC/td-p/724228","Solved","https://community.infineon.com/html/assets/solved.svg","From a linux system, I want to read back the configured program image from a CYC65215 part and check that its CRC is correct -- assuming it has an app...","Show More","https://community.infineon.com/","From a linux system, I want to read back the configured program image from a CYC65215 part and check that its CRC is correct -- assuming it has an appended CRC.  Does the image have a CRC? Is the CRC generated using a known algorithm with  a standard polynomial? If so, which polynomial?","Show Less","mitch-burghart","https://community.infineon.com/html/@BB7CBF68EA79EE2CE80785E7E8F100B7/badge_icons/Questions%20asked_1.svg","https://community.infineon.com/html/@4F31C10E63A8DEAD5447F4ACE23F9B35/badge_icons/Login_1.svg","2024/3/28","164","0","3","","","","","","","","","","",""
"https://community.infineon.com/t5/user/viewprofilepage/user-id/89224","https://community.infineon.com/t5/image/serverpage/avatar-name/collecting/avatar-theme/candy/avatar-collection/hobbies/avatar-display-size/profile/version/2?xdesc=1.0","USB low-full-high speed peripherals","https://community.infineon.com/t5/USB-low-full-high-speed/bd-p/USBLowFullHighSpeedPeripherals","Arming of bulk/interrupt out endpoint in fx2lp","https://community.infineon.com/t5/USB-low-full-high-speed/Arming-of-bulk-interrupt-out-endpoint-in-fx2lp/td-p/722823","Solved","https://community.infineon.com/html/assets/solved.svg","Hello,I am stuck at a point,in my application , i use endpoint 2 as slave fifo mode and also use auto in for acquiring data from external peripheral e...","Show More","https://community.infineon.com/","Hello,I am stuck at a point,in my application , i use endpoint 2 as slave fifo mode and also use auto in for acquiring data from external peripheral endpoint 2 is configured as BULK , quad buffered here I make use of REVCTL = 0x03;","Show Less","CSK10","https://community.infineon.com/html/@5D4E593E0A030CD78DB8D5CDDA2554E1/badge_icons/Likes%20received_1.svg","https://community.infineon.com/html/@8D0CEDDB2B2BA0125F60F1F756154B75/badge_icons/Likes%20given_1.svg","2024/3/27","113","0","1","whereas i need another endpoint EP4 which i just need to configure as 16 bytes long , and just send communication from host to device using endpoint interrupt .EP4 is configured as endpoint out , bulk and double buffered Now the problem is being caused due to REVCTL register The first two transactions are successful , as i arm the endpoint But then re-arming of endpoint doesnt work inside the endpoint interrupt why is that can someone help me out here ?this is my code :void TD_Init(void){EP4CFG = 0xA2; // out endpoints do not come up armed,since the defaults are double buffered we must write dummy byte counts twice SYNCDELAY;FIFORESET = 0x80;SYNCDELAY;FIFORESET = 0x84;SYNCDELAY;FIFORESET = 0x00;SYNCDELAY;EP4BCL = 0x10; // arm EP4OUT by writing byte count w/skip.SYNCDELAY;EP4BCL = 0x10;OEC = 0x01; // PC0 as outputEPIE |= bmBIT5 ; // Enable EP4 interrupt/// For data acquisition","IFCONFIG = 0xCB;","SYNCDELAY;","REVCTL = 0x03; // set to 1","SYNCDELAY;","EP2CFG = 0xE0 ;","SYNCDELAY;","EP2FIFOCFG=0;","SYNCDELAY;","FIFORESET=0x80;","https://community.infineon.com/html/@1AD53FB798C4B8F7899EC55B7B0CACE8/badge_icons/Login_50.svg"
"https://community.infineon.com/t5/user/viewprofilepage/user-id/96595","https://community.infineon.com/t5/image/serverpage/avatar-name/balloons/avatar-theme/candy/avatar-collection/toys/avatar-display-size/profile/version/2?xdesc=1.0","USB low-full-high speed peripherals","https://community.infineon.com/t5/USB-low-full-high-speed/bd-p/USBLowFullHighSpeedPeripherals","Pinout error on documentation of CY7C6514D","https://community.infineon.com/t5/USB-low-full-high-speed/Pinout-error-on-documentation-of-CY7C6514D/td-p/664106","Solved","https://community.infineon.com/html/assets/solved.svg","Hi Infineon Community,
I am reviewing the second SPI pinout interface, and I've noticed some discrepancies between various figures and tables regardin...","Show More","https://community.infineon.com/","Hi Infineon Community,","Show Less","ESCLuisFlores","https://community.infineon.com/html/@1196654FE7D08F618233C90299142872/badge_icons/Questions%20asked_10.svg","https://community.infineon.com/html/@802D173B6CCE19D70A765EC56856B0C4/badge_icons/Reply%20to%20questions_10.svg","2023/12/20","369","0","2","I am reviewing the second SPI pinout interface, and I've noticed some discrepancies between various figures and tables regarding the pinout of SPI port 1.","Please confirm if my understanding is correct and make any necessary corrections to the document.","Below, I have included a comparison table and images from Document Number 002-31604 Rev. **, as found on the CY7C65214D-32LTXI webpage.","I believe the correct pinout is shown in Figure 4, as it represents the actual pinout of the package. Furthermore, Figures 5, 6, and 7 are consistent with Figure 4.","Regards,","Luis Flores","","","","","https://community.infineon.com/html/@2B1A508C78E14E291DB4F746ED38E75D/badge_icons/Login_25.svg"
"https://community.infineon.com/t5/user/viewprofilepage/user-id/52849","https://community.infineon.com/legacyfs/online/infineon/avatars/a1004_3.png","USB low-full-high speed peripherals","https://community.infineon.com/t5/USB-low-full-high-speed/bd-p/USBLowFullHighSpeedPeripherals","CY7C65210 TID Number","https://community.infineon.com/t5/USB-low-full-high-speed/CY7C65210-TID-Number/td-p/717528","Solved","https://community.infineon.com/html/assets/solved.svg","Hi,
What is CY7C65210 TID number?
BR
Eason","Show More","https://community.infineon.com/","","Show Less","Eason_Cho","https://community.infineon.com/html/@2B1A508C78E14E291DB4F746ED38E75D/badge_icons/Login_25.svg","https://community.infineon.com/html/@9FC46A0208CA612D6CB0C9007C71D09A/badge_icons/Login_10.svg","2024/3/19","177","0","2","","","Eason","","","","Hi,","What is","TID number?","BR","https://community.infineon.com/html/@5314BCBE1A8075802F557371685FC5CB/badge_icons/Login_5.svg"
"https://community.infineon.com/t5/user/viewprofilepage/user-id/89224","https://community.infineon.com/t5/image/serverpage/avatar-name/collecting/avatar-theme/candy/avatar-collection/hobbies/avatar-display-size/profile/version/2?xdesc=1.0","USB low-full-high speed peripherals","https://community.infineon.com/t5/USB-low-full-high-speed/bd-p/USBLowFullHighSpeedPeripherals","Setting up isochronous out endpoint in fx2lp","https://community.infineon.com/t5/USB-low-full-high-speed/Setting-up-isochronous-out-endpoint-in-fx2lp/td-p/717209","Solved","https://community.infineon.com/html/assets/solved.svg","Hello,Can someone point me to examples codes for using isochronous out endpoints?apart from the description already in TRM ?","Show More","https://community.infineon.com/","Hello,Can someone point me to examples codes for using isochronous out endpoints?apart from the description already in TRM ?","Show Less","CSK10","https://community.infineon.com/html/@5D4E593E0A030CD78DB8D5CDDA2554E1/badge_icons/Likes%20received_1.svg","https://community.infineon.com/html/@8D0CEDDB2B2BA0125F60F1F756154B75/badge_icons/Likes%20given_1.svg","2024/3/19","160","1","1","","","","","","","","","","","https://community.infineon.com/html/@1AD53FB798C4B8F7899EC55B7B0CACE8/badge_icons/Login_50.svg"
"https://community.infineon.com/t5/user/viewprofilepage/user-id/167912","https://community.infineon.com/t5/image/serverpage/avatar-name/flute/avatar-theme/candy/avatar-collection/music/avatar-display-size/profile/version/2?xdesc=1.0","USB low-full-high speed peripherals","https://community.infineon.com/t5/USB-low-full-high-speed/bd-p/USBLowFullHighSpeedPeripherals","CY7C64215-56LTXC  Newbie question / Read program?","https://community.infineon.com/t5/USB-low-full-high-speed/CY7C64215-56LTXC-Newbie-question-Read-program/td-p/711931","Solved","https://community.infineon.com/html/assets/solved.svg","Hello Team,
I apologize for the dumb question.
Long story short: I damaged one of my keyboard's multiplexed lines from a static shock. Upon disassembl...","Show More","https://community.infineon.com/","Hello Team,","Show Less","Moycas","https://community.infineon.com/html/@DB310C00FCF7164DF57F5E9E38A34695/badge_icons/Reply%20to%20questions_1.svg","https://community.infineon.com/html/@8D0CEDDB2B2BA0125F60F1F756154B75/badge_icons/Likes%20given_1.svg","2024/3/11","226","0","3","I apologize for the dumb question.","","I see the PCB has a header which I'm presuming is the I2C (J1 in the attached picture).","","","","","","","Long story short: I damaged one of my keyboard's multiplexed lines from a static shock. Upon disassembly I see that it has a CY7C64215-56LTXC microcontroller and was wondering if I can read its flash memory  by using I2C and write it on a new one from Mouser using PSoC 4.","https://community.infineon.com/html/@BB7CBF68EA79EE2CE80785E7E8F100B7/badge_icons/Questions%20asked_1.svg"
"https://community.infineon.com/t5/user/viewprofilepage/user-id/17021","https://community.infineon.com/legacyfs/online/infineon/avatars/a1025_24.png","USB low-full-high speed peripherals","https://community.infineon.com/t5/USB-low-full-high-speed/bd-p/USBLowFullHighSpeedPeripherals","FX3 SDK 1.3.5 breaks JTAG debugging","https://community.infineon.com/t5/USB-low-full-high-speed/FX3-SDK-1-3-5-breaks-JTAG-debugging/td-p/703643","Solved","https://community.infineon.com/html/assets/solved.svg","Hello,
I have a simple project using FX3 (CYUSB3014) and FX3 SDK 1.3.5.
I have Segger J-Link connected to the JTAG pins. Also, have a debug configurat...","Show More","https://community.infineon.com/","Hello,","Show Less","DiGo_2250031","https://community.infineon.com/html/@9FEDFFCBA9FB60B2EB3889D72F5D4A95/badge_icons/Give%20accepted%20solutions_1.svg","https://community.infineon.com/html/@5314BCBE1A8075802F557371685FC5CB/badge_icons/Login_5.svg","2024/2/28","297","0","5","I have a simple project using FX3 (CYUSB3014) and FX3 SDK 1.3.5.","Thank you,","I see multiple errors, printed in the Console, like this:","Any ideas how to get SDK 1.3.5 to work with the JTAG debugger?","D.","","","","","I have Segger J-Link connected to the JTAG pins. Also, have a debug configuration that uses Segger J-Link GDB Server.","https://community.infineon.com/html/@DB310C00FCF7164DF57F5E9E38A34695/badge_icons/Reply%20to%20questions_1.svg"
"https://community.infineon.com/t5/user/viewprofilepage/user-id/167466","https://community.infineon.com/t5/image/serverpage/avatar-name/mexican/avatar-theme/candy/avatar-collection/food/avatar-display-size/profile/version/2?xdesc=1.0","USB low-full-high speed peripherals","https://community.infineon.com/t5/USB-low-full-high-speed/bd-p/USBLowFullHighSpeedPeripherals","[ CY7C65213-32LTXIT]:USB device descriptor failed","https://community.infineon.com/t5/USB-low-full-high-speed/CY7C65213-32LTXIT-USB-device-descriptor-failed/td-p/707290","Solved","https://community.infineon.com/html/assets/solved.svg","Hi Experts,
We are using  CY7C65213-32LTXIT (USB Interface IC USB-UART LP Bridge Controller) but USB detection is failed.
We are using Windows11PRO pc...","Show More","https://community.infineon.com/","Hi Experts,","Show Less","raju1421","https://community.infineon.com/html/@5314BCBE1A8075802F557371685FC5CB/badge_icons/Login_5.svg","https://community.infineon.com/html/@DB310C00FCF7164DF57F5E9E38A34695/badge_icons/Reply%20to%20questions_1.svg","2024/3/5","221","0","7","We are using  CY7C65213-32LTXIT (","","","","","","USB Interface IC USB-UART LP Bridge Controller) but USB detection is failed.","We are using Windows11PRO pc.","Can you share us the drivers ?","","https://community.infineon.com/html/@BB7CBF68EA79EE2CE80785E7E8F100B7/badge_icons/Questions%20asked_1.svg"
"https://community.infineon.com/t5/user/viewprofilepage/user-id/87559","https://community.infineon.com/t5/image/serverpage/avatar-name/music/avatar-theme/candy/avatar-collection/hobbies/avatar-display-size/profile/version/2?xdesc=1.0","USB low-full-high speed peripherals","https://community.infineon.com/t5/USB-low-full-high-speed/bd-p/USBLowFullHighSpeedPeripherals","有没有合适的切换D+,D-的电子开关","https://community.infineon.com/t5/USB-low-full-high-speed/%E6%9C%89%E6%B2%A1%E6%9C%89%E5%90%88%E9%80%82%E7%9A%84%E5%88%87%E6%8D%A2D-D-%E7%9A%84%E7%94%B5%E5%AD%90%E5%BC%80%E5%85%B3/td-p/707641","Solved","https://community.infineon.com/html/assets/solved.svg","Hi","","","","","arthurliu","https://community.infineon.com/html/@24241FAC52D868666D722825964116C3/badge_icons/Login_100.svg","https://community.infineon.com/html/@E6E9AA5CCB096D6F61CF5FEAA3347679/badge_icons/Reply%20to%20questions_25.svg","2024/3/5","134","0","1","","","","","","","","","","","https://community.infineon.com/html/@1AD53FB798C4B8F7899EC55B7B0CACE8/badge_icons/Login_50.svg"
"https://community.infineon.com/t5/user/viewprofilepage/user-id/83804","https://community.infineon.com/t5/image/serverpage/image-id/38295iA47661CC674CA7D1/image-dimensions/150x150?v=v2","USB low-full-high speed peripherals","https://community.infineon.com/t5/USB-low-full-high-speed/bd-p/USBLowFullHighSpeedPeripherals","flow control of CY7C65223-24LTXI","https://community.infineon.com/t5/USB-low-full-high-speed/flow-control-of-CY7C65223-24LTXI/td-p/704551","Solved","https://community.infineon.com/html/assets/solved.svg","Hello,
Please tell me about the pin handling of the CY7C65223-24LTXI. When the flow control function is not used, should the RTS and CTS pins be OPEN?...","Show More","https://community.infineon.com/","Hello,","Show Less","NXTY_Nishinaga","https://community.infineon.com/html/@D1C2D3D1DAD7ABF83398E11AEB24880B/badge_icons/Reply%20to%20questions_50.svg","https://community.infineon.com/html/@24241FAC52D868666D722825964116C3/badge_icons/Login_100.svg","2024/2/29","220","0","5","Please tell me about the pin handling of the CY7C65223-24LTXI. When the flow control function is not used, should the RTS and CTS pins be OPEN?","","","","","","","","","Regards,","https://community.infineon.com/html/@37A05A7C9D3835B35D42FA80AA084A23/badge_icons/Give%20accepted%20solutions_10.svg"
